Site ID	Site Name	Parameter	Recorded Date	Aggregated Value	Units	No of Records	Data Source	Status	Quality Description
18593	LAKE HANNA	"Rainfall, total"	5/15/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/16/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/17/15	0.36	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/18/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/19/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/20/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/21/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/22/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/23/15	0.19	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/24/15	1.66	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/25/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/26/15	2.54	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/27/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/28/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/29/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/30/15	1.44	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	5/31/15	0.58	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/1/15	0.16	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/2/15	0.16	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/3/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/4/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/5/15	0.21	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/6/15	0.01	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/7/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/8/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/9/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/10/15	0.4	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/11/15	0.01	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/12/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/13/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/14/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/15/15	0.27	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/16/15	0.04	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/17/15	0.01	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/18/15	0.09	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/19/15	0.24	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/20/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/21/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/22/15	0.22	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/23/15	0.07	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/24/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/25/15	0.51	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/26/15	0.23	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/27/15	0.36	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/28/15	0.02	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/29/15	0.23	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	6/30/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	7/1/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	7/2/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	7/3/15	0.06	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	7/4/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	7/5/15	0.33	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	7/6/15	0.07	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	7/7/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	7/8/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	7/9/15	0.04	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	7/10/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	7/11/15	0.28	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	7/12/15	0.01	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	7/13/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	7/14/15	0.05	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	7/15/15	0.1	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	7/16/15	0.89	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	7/17/15	0.24	In.	96	District- 15 minute	Provisional	"Good Continuous Records, Data Unchecked"
18593	LAKE HANNA	"Rainfall, total"	7/18/15	0.03	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	7/19/15	0.14	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	7/20/15	1.01	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	7/21/15	0.22	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	7/22/15	0.01	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	7/23/15	0.43	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	7/24/15	3.41	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	7/25/15	0.88	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	7/26/15	0.02	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	7/27/15	0.84	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	7/28/15	0.26	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	7/29/15	0.33	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	7/30/15	0.84	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	7/31/15	0.33	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/1/15	2.43	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/2/15	0.18	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/3/15	4.91	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/4/15	0	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/5/15	0	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/6/15	0	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/7/15	0.47	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/8/15	0.74	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/9/15	1.67	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/10/15	0.06	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/11/15	0.21	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/12/15	0	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/13/15	0.37	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/14/15	0.01	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/15/15	0.11	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/16/15	1.18	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/17/15	0.01	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/18/15	0.06	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/19/15	0.23	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/20/15	0.01	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/21/15	1.07	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/22/15	0.07	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/23/15	0.01	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/24/15	0.05	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/25/15	0	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/26/15	0	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/27/15	0.01	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/28/15	2.43	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/29/15	0.93	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/30/15	1.42	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	8/31/15	0.71	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	9/1/15	0.03	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	9/2/15	0	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	9/3/15	0	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	9/4/15	0	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	9/5/15	0	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	9/6/15	0.25	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	9/7/15	0.34	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	9/8/15	0.05	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	9/9/15	0	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	9/10/15	0	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	9/11/15	0	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	9/12/15	0.46	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	9/13/15	0.91	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	9/14/15	0	In.	96	District- 15 minute	Provisional	Data Unchecked
18593	LAKE HANNA	"Rainfall, total"	9/15/15	0	In.	5	District- 15 minute	Provisional	Data Unchecked
